f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,y
0.095146,0.005020,0.000000,0.000000,0.040000,0.003469,0.000000,0.000000,0.000000,0.000000,0.170455,0.000000,0.085714,0.077507,1.000000,0.527112,0.712245,0.652174,0.727273,1.000000,0
0.021277,0.005793,0.000000,0.000000,0.036000,0.001982,0.013158,0.000000,0.000000,0.027027,0.034091,0.090909,0.057143,0.024190,0.875000,0.103233,0.663265,0.739130,0.363636,1.000000,1
0.073102,0.005406,0.000000,0.000000,0.114286,0.001611,0.394737,0.211538,0.127119,0.027027,0.090909,0.000000,0.114286,0.068939,0.684200,0.082377,0.679592,0.391304,0.000000,0.500000,0
0.091390,0.000772,0.000000,0.000000,0.000000,0.003345,0.092105,0.019231,0.008475,0.054054,0.068182,0.000000,0.057143,0.098577,0.875000,0.000000,0.728571,0.826087,0.090909,1.000000,1
0.015853,0.006217,0.000000,0.000000,0.033540,0.005823,0.000000,0.000000,0.000000,0.000000,0.045455,0.090909,0.085714,0.018533,1.000000,0.016684,0.655102,0.652174,0.545455,0.500000,0
0.007142,0.003669,0.000000,0.000000,0.109474,0.002974,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.057143,0.004843,1.000000,0.093326,0.628571,0.782609,0.272727,1.000000,1
0.000000,0.000000,0.000000,0.000000,0.000000,0.168628,0.000000,0.000000,0.000000,0.108108,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.391837,0.782609,0.636364,0.500000,0
0.046176,0.011296,0.000000,0.000000,0.070427,0.001859,0.118421,0.019231,0.000000,0.027027,0.090909,0.090909,0.114286,0.089055,0.764700,0.120959,0.632653,0.913043,0.181818,1.000000,0
0.020913,0.007241,0.000000,0.000000,0.058667,0.001363,0.078947,0.096154,0.045198,0.000000,0.045455,0.000000,0.085714,0.028288,0.764700,0.160584,0.689796,0.521739,0.545455,1.000000,1
0.044557,0.041128,0.000000,0.000000,0.109671,0.000991,0.000000,0.000000,0.000000,0.000000,0.079545,0.000000,0.142857,0.089288,1.000000,0.345151,0.618367,0.130435,0.363636,1.000000,0
0.005527,0.004151,0.000000,0.000000,0.154419,0.001859,0.000000,0.000000,0.000000,0.000000,0.056818,0.181818,0.142857,0.004843,1.000000,0.032847,0.589796,0.695652,0.090909,1.000000,0
0.000000,0.000000,0.000000,0.000000,0.000000,0.024408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.600000,0.652174,0.363636,0.500000,0
0.184331,0.000000,0.000000,0.000000,0.000000,0.002602,0.000000,0.000000,0.008475,0.027027,0.011364,0.000000,0.000000,0.092245,1.000000,0.000000,0.379592,0.086957,0.636364,0.500000,0
0.057830,0.000000,0.000000,0.000000,0.000000,0.118449,0.000000,0.000000,0.000000,0.027027,0.068182,0.000000,0.057143,0.050872,1.000000,0.000000,0.465306,0.913043,0.090909,1.000000,0
0.112140,0.040114,0.000189,1.000000,0.000000,0.004089,0.000000,0.000000,0.000000,0.108108,0.034091,0.000000,0.028571,0.081046,1.000000,0.000000,0.334694,0.565217,0.636364,0.500000,1
0.002838,0.000579,0.000000,0.000000,0.333333,0.000867,0.000000,0.000000,0.000000,0.135135,0.011364,0.090909,0.028571,0.001420,1.000000,0.156413,0.661224,0.173913,0.909091,0.500000,0
0.093910,0.000386,0.024045,0.000000,0.500000,0.002602,0.105263,0.076923,0.725989,0.135135,0.068182,0.000000,0.057143,0.085144,0.531300,0.516163,0.459184,0.043478,0.727273,0.500000,1
0.011305,0.000000,0.000000,0.000000,0.000000,0.002974,0.000000,0.000000,0.000000,0.027027,0.011364,0.000000,0.028571,0.005658,1.000000,0.000000,0.514286,0.869565,0.454545,1.000000,1
0.113253,0.029735,0.000000,0.000000,0.025455,0.001611,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.057143,0.193430,1.000000,0.127216,0.691837,0.782609,0.090909,1.000000,1
0.008607,0.000965,0.000000,0.000000,0.200000,0.005328,0.000000,0.000000,0.000000,0.000000,0.011364,0.000000,0.028571,0.004307,1.000000,0.174140,0.626531,0.782609,0.454545,1.000000,1
0.041950,0.018343,0.000000,1.000000,0.016421,0.001239,0.026316,0.057692,0.005650,0.486486,0.034091,0.000000,0.028571,0.027846,0.935500,0.054223,0.624490,0.739130,0.636364,1.000000,0
0.010468,0.000965,0.000000,0.000000,0.280000,0.004089,0.000000,0.000000,0.000000,0.000000,0.011364,0.000000,0.028571,0.005239,1.000000,0.233577,0.724490,0.652174,0.636364,1.000000,0
0.026305,0.000000,0.000000,0.000000,0.000000,0.091810,0.000000,0.000000,0.000000,0.081081,0.056818,0.000000,0.085714,0.018509,1.000000,0.000000,0.491837,0.826087,0.636364,0.500000,0
0.009491,0.001352,0.000000,0.000000,0.114286,0.002354,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.057143,0.004982,1.000000,0.062044,0.663265,0.347826,0.818182,1.000000,1
0.040383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068182,0.000000,0.057143,0.024004,1.000000,0.000000,0.469388,0.000000,0.545455,0.500000,0
0.048553,0.006662,0.000000,0.000000,0.022029,0.004337,0.118421,0.173077,0.016949,0.000000,0.056818,0.000000,0.057143,0.045587,0.700000,0.106361,0.624490,0.695652,1.000000,0.000000,1
0.015338,0.000000,0.000000,0.000000,0.000000,0.003345,0.000000,0.000000,0.000000,0.000000,0.034091,0.181818,0.057143,0.020535,1.000000,0.000000,0.597959,0.826087,0.272727,1.000000,0
0.002326,0.000000,0.000000,0.000000,0.000000,0.050180,0.000000,0.000000,0.000000,0.000000,0.011364,0.090909,0.028571,0.001164,1.000000,0.000000,0.659184,0.521739,0.272727,1.000000,1
0.123690,0.255648,0.000000,1.000000,0.008822,0.001982,0.000000,0.000000,0.000000,0.000000,0.056818,0.000000,0.028571,0.114759,1.000000,0.172576,0.900000,0.956522,0.363636,1.000000,0
