x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y
414800,18.49,2.72,2.72,6.26,6.26,4.05,4.05,-14.4,14.4,0.00,0,366440000,304.49,0
143900,14.69,-3.92,3.92,3.02,3.02,6.06,6.06,4.41,4.41,225958.00,11.2,196640000,304.5,0
121000,13.83,4.22,4.22,3.91,3.91,7.38,7.38,71.8,71.8,1054707.00,-7.48,79890000,304.57,0
3496100,13.98,1.9,1.9,21.88,21.88,20.1,20.1,18.58,18.58,2156.00,-30.25,3490000000,304.72,1
900100,24.77,3.34,3.34,5.76,5.76,2.74,2.74,20.36,20.36,1096523.00,18.63,806860000,304.9,1
729600,11.81,2.7,2.7,14,14,11.52,11.52,0.25,0.25,1602408.00,9.09,122030000,304.93,0
1765500,16.6,-2.87,2.87,38.1,38.1,54.13,54.13,23.42,23.42,90857.00,42.13,745950000,304.98,0
774900,23.94,3.15,3.15,10.07,10.07,18.22,18.22,39.75,39.75,0.00,0,163470000,305.06,0
1460800,14.49,1.9,1.9,14.45,14.45,11.81,11.81,-21.93,21.93,5393037.00,29.99,3470000000,305.13,0
93300,24.64,4.27,4.27,4.58,4.58,13.34,13.34,37.96,37.96,0.00,0,142610000,305.32,0
1057600,24.11,4.33,4.33,11.67,11.67,7.11,7.11,37.69,37.69,1096523.00,18.63,806860000,305.44,0
90700,23.88,1.36,1.36,6.23,6.23,-2.29,2.29,58.99,58.99,0.00,0,142610000,305.51,0
6322200,23.04,7.11,7.11,18.95,18.95,19.25,19.25,-9.43,9.43,624333.00,97.47,6350000000,305.85,1
4130000,21.51,1.7,1.7,14.29,14.29,11.34,11.34,-12.38,12.38,624333.00,97.47,6350000000,305.95,1
143000,15.25,2.35,2.35,6.94,6.94,8.54,8.54,11.72,11.72,225958.00,11.2,196640000,305.99,0
192900,23.97,3.9,3.9,4.13,4.13,11.02,11.02,-6.11,6.11,11284.00,-13.91,2380000000,306.16,1
453700,11.5,-2.71,2.71,8.18,8.18,23.52,23.52,20.17,20.17,6176.00,171.23,1420000000,306.19,0
845700,38.17,3.84,3.84,5.18,5.18,13.87,13.87,52.68,52.68,2792077.00,72.76,8950000000,306.19,0
1922400,33.03,3.15,3.15,7.94,7.94,-1.96,1.96,31.49,31.49,5393037.00,29.99,1950000000,306.35,0
169500,18.85,1.95,1.95,8.33,8.33,6.08,6.08,-6.68,6.68,0.00,0,366440000,306.37,0
727400,35.85,4.37,4.37,5.44,5.44,16.02,16.02,9.3,9.3,1549813.00,29.98,251960000,306.51,1
8494100,22.65,13.93,13.93,32.3,32.3,29.87,29.87,32.84,32.84,5393037.00,29.99,746400000,306.54,1
1307700,20.2,2.02,2.02,4.94,4.94,19.88,19.88,26.65,26.65,3400000.00,1.09,2020000000,306.57,0
906400,19.3,2.28,2.28,6.98,6.98,1.85,1.85,4.16,4.16,109333.00,-14.83,301640000,306.68,0
3904900,38.81,1.92,1.92,5.01,5.01,-1.45,1.45,-4.67,4.67,13408421.00,55.79,5830000000,306.84,1
917700,20.1,1.77,1.77,10.74,10.74,43.57,43.57,30.94,30.94,5393037.00,29.99,324960000,307.22,0
10761500,18.23,-3.6,3.6,18.99,18.99,22.27,22.27,10.89,10.89,853826.00,88.7,5890000000,307.54,1
554300,27.72,3.05,3.05,4.68,4.68,-7.45,7.45,14.83,14.83,76569.00,58.45,1080000000,307.58,1
3996700,24.6,1.78,1.78,5.22,5.22,3.75,3.75,-0.73,0.73,92008.00,27.87,1160000000,307.59,0
1145400,13.48,9.5,9.5,17.22,17.22,14.63,14.63,24.24,24.24,4740.00,15.44,2300000000,307.62,1
