calendar_d,fiscal_week_begin_d,fiscal_week_end_d,week_offset
"2023-10-22","2023-10-22","2023-10-28","-4.0"
"2023-10-29","2023-10-29","2023-11-04","-3.0"
"2023-11-05","2023-11-05","2023-11-11","-2.0"
"2023-11-12","2023-11-12","2023-11-18","-1.0"
"2023-11-19","2023-11-19","2023-11-25","0.0"
"2023-11-26","2023-11-26","2023-12-02","1.0"
"2023-12-03","2023-12-03","2023-12-09","2.0"
"2023-12-10","2023-12-10","2023-12-16","3.0"
"2023-12-17","2023-12-17","2023-12-23","4.0"
