tcin,location_id,item_location_status_c
"13462173","4","A"
"13462173","12","A"
"13462173","13","A"
"13462173","19","A"
"13462173","24","D"
"13462173","26","A"
"13462173","43","A"
"13462173","48","A"
"13462173","55","A"
"13462173","61","A"
"13462173","64","A"
"13462173","67","A"
"13462173","69","A"
"13462173","75","A"
"13462173","78","A"
"13462173","79","A"
"13462173","80","A"
"13462173","83","A"
"13462173","85","A"
"13462173","86","A"
"13462173","93","A"
"13462173","95","A"
"13462173","96","A"
"13462173","108","A"
"13462173","111","A"
"13462173","137","A"
"13462173","139","A"
"13462173","147","A"
"13462173","154","A"
"13462173","158","A"
"13462173","167","A"
"13462173","171","A"
"13462173","176","A"
"13462173","179","D"
"13462173","184","A"
"13462173","188","A"
"13462173","190","A"
"13462173","192","A"
"13462173","193","A"
"13462173","195","A"
"13462173","198","A"
"13462173","199","A"
"13462173","200","A"
"13462173","201","A"
"13462173","203","A"
"13462173","205","A"
"13462173","212","A"
"13462173","217","A"
"13462173","221","A"
"13462173","222","A"
"13462173","223","A"
"13462173","226","A"
"13462173","227","A"
"13462173","229","A"
"13462173","230","A"
"13462173","233","A"
"13462173","238","A"
"13462173","239","A"
"13462173","245","A"
"13462173","246","A"
"13462173","249","A"
"13462173","250","A"
"13462173","251","A"
"13462173","253","A"
"13462173","254","A"
"13462173","255","A"
"13462173","256","A"
"13462173","257","A"
"13462173","258","A"
"13462173","259","A"
"13462173","264","A"
"13462173","265","A"
"13462173","267","D"
"13462173","271","A"
"13462173","273","A"
"13462173","274","A"
"13462173","275","A"
"13462173","278","A"
"13462173","279","A"
"13462173","280","A"
"13462173","282","A"
"13462173","286","A"
"13462173","288","A"
"13462173","289","A"
"13462173","290","A"
"13462173","291","A"
"13462173","293","A"
"13462173","294","A"
"13462173","296","A"
"13462173","298","A"
"13462173","299","A"
"13462173","300","A"
"13462173","301","A"
"13462173","302","A"
"13462173","303","A"
"13462173","304","A"
"13462173","305","A"
"13462173","307","A"
"13462173","309","A"
"13462173","310","A"
"13462173","311","A"
"13462173","312","A"
"13462173","313","A"
"13462173","314","A"
"13462173","317","A"
"13462173","318","A"
"13462173","319","A"
"13462173","320","A"
"13462173","321","A"
"13462173","322","A"
"13462173","323","A"
"13462173","324","A"
"13462173","328","A"
"13462173","330","A"
"13462173","331","A"
"13462173","332","S"
"13462173","335","A"
"13462173","336","A"
"13462173","337","A"
"13462173","338","A"
"13462173","339","A"
"13462173","341","A"
"13462173","342","A"
"13462173","343","A"
"13462173","344","A"
"13462173","345","A"
"13462173","346","A"
"13462173","347","A"
"13462173","348","A"
"13462173","349","A"
"13462173","350","A"
"13462173","351","A"
"13462173","353","A"
"13462173","354","A"
"13462173","358","A"
