lno,tcin,location_id,effective_d,expiry_d,regular_retail_a,current_retail_a,channel_n
100,"13462173","2456","2023-10-29","","16.99","15.99","STORE"
101,"13462173","3302","2023-10-29","","17.99","16.99","STORE"
102,"13462173","922","2023-10-29","","17.99","16.99","STORE"
103,"13462173","13","2023-10-29","","17.99","16.99","STORE"
104,"13462173","1380","2023-10-29","","17.99","16.99","STORE"
105,"13462173","1025","2023-10-29","","17.99","16.99","STORE"
106,"13462173","1409","2023-10-29","","17.99","16.99","STORE"
107,"13462173","2217","2023-10-29","","17.99","16.99","STORE"
108,"13462173","2425","2023-10-29","","17.99","16.99","STORE"
109,"13462173","3346","2023-10-29","","17.99","16.99","STORE"
110,"13462173","918","2023-10-29","","17.99","16.99","STORE"
111,"13462173","250","2023-10-29","","17.99","16.99","STORE"
112,"13462173","850","2023-10-29","","17.99","16.99","STORE"
113,"13462173","1338","2023-10-29","","17.99","17.99","STORE"
114,"13462173","1815","2023-10-29","","17.99","16.99","STORE"
115,"13462173","3420","2023-10-29","","17.99","16.99","STORE"
116,"13462173","1052","2023-10-29","","17.99","16.99","STORE"
117,"13462173","1097","2023-10-29","","17.99","16.99","STORE"
118,"13462173","2871","2023-10-29","","17.99","16.99","STORE"
119,"13462173","80","2023-10-29","2023-11-19","17.99","16.99","STORE"
120,"13462173","632","2023-10-29","2023-11-19","17.99","16.99","STORE"
121,"13462173","1486","2023-10-29","2023-11-19","17.99","16.99","STORE"
122,"13462173","1968","2023-10-29","2023-11-19","17.99","16.99","STORE"
123,"13462173","3335","2023-10-29","2023-11-19","17.99","16.99","STORE"
124,"13462173","852","2023-10-29","","17.99","16.99","STORE"
125,"13462173","1171","2023-10-29","","17.99","16.99","STORE"
126,"13462173","1246","2023-10-29","","17.99","16.99","STORE"
127,"13462173","2343","2023-10-29","","17.99","16.99","STORE"
128,"13462173","96","2023-10-29","","17.99","16.99","STORE"
129,"13462173","2436","2023-10-29","","17.99","16.99","STORE"
130,"13462173","1078","2023-10-29","","17.99","16.99","STORE"
131,"13462173","2101","2023-10-29","","16.99","15.99","STORE"
132,"13462173","609","2023-10-29","","17.99","16.99","STORE"
133,"13462173","258","2023-10-29","","17.99","16.99","STORE"
134,"13462173","2011","2023-10-29","","17.99","16.99","STORE"
135,"13462173","2105","2023-10-29","","17.99","16.99","STORE"
136,"13462173","2252","2023-10-29","","17.99","16.99","STORE"
137,"13462173","1764","2023-10-29","2023-11-19","17.99","16.99","STORE"
138,"13462173","665","2023-10-29","2023-11-19","17.99","16.99","STORE"
