f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
479.0,0.75,1.006,0,3,7,5,0,2672,1154.4285714285713,500.0,1.4580000000000002,53.0,0.042,15.0,8.0,15.0,0
620.0,0.75,0.0,0,0,2,2,0,2530,1722.0,0.0,0.0,22.0,0.0,0.0,0.0,20.0,0
545.0,0.6364,0.0,1,2,7,9,0,2318,1320.0,0.0,0.0,48.0,0.0,0.0,4.0,38.0,0
515.0,1.0,0.0,0,2,6,7,0,6719,1993.333333333333,5870.0,0.04139693356047701,72.0,0.025383304940374787,0.0,0.0,0.0,0
482.0,0.6667,0.0,0,0,2,3,0,1729,1546.0,0.0,0.0,34.0,0.0,0.0,0.0,3.0,0
471.0,0.5385,0.0,0,4,11,4,0,2147,1128.7272727272727,0.0,0.0,445.0,0.0,0.0,0.0,40.0,1
577.0,0.5882,0.01,0,2,8,22,0,4010,1377.875,5400.0,0.0,17.0,0.001851851851851852,15.0,0.0,117.0,0
524.0,0.8462,0.0,0,0,2,3,0,1694,1310.5,0.0,0.0,41.0,0.0,11.0,12.0,2.0,0
489.0,0.8182,1.116,0,2,8,0,0,2407,1346.625,9300.0,0.09204301075268816,27.0,0.029677419354838714,2.0,2.0,1.0,0
548.0,0.5,0.0,0,3,11,12,0,1221,901.2727272727273,0.0,0.0,50.0,0.0,12.0,5.0,17.0,0
557.0,0.5,0.0,0,2,5,5,0,1842,872.4,0.0,0.0,425.0,0.0,1.0,1.0,0.0,0
525.0,1.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
633.0,1.0,0.0,2,4,6,0,0,784,408.16666666666674,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0
513.0,1.0,0.0,0,1,7,10,0,1200,987.7142857142856,0.0,0.0,1271.0,0.0,0.0,0.0,0.0,0
524.0,0.8,0.0,0,0,0,6,0,0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,26.0,0
667.0,1.0,0.0,0,0,2,2,0,1613,1449.5,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0
506.0,0.8,1.011,0,1,3,4,0,2095,1129.6666666666667,700.0,0.0,45.0,0.04142857142857143,0.0,0.0,2.0,0
645.0,1.0,0.0,0,1,1,0,0,346,346.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1
559.0,0.7692,0.669,0,2,5,4,0,3105,1504.6,350.0,0.0,59.0,0.028571428571428567,3.0,3.0,7.0,1
548.0,1.0,0.0,0,2,3,3,0,1749,807.0,0.0,0.0,1627.0,0.0,0.0,0.0,0.0,0
524.0,1.0,0.0,0,3,4,2,0,2024,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
421.0,0.0,0.0,0,3,5,4,0,960,613.8,0.0,0.0,163.0,0.0,3.0,0.0,0.0,0
525.0,1.0,0.0,0,1,1,2,0,670,670.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0
527.0,0.8235,0.0,0,7,22,7,1,6455,1701.909090909091,0.0,0.0,43.0,0.0,22.0,23.0,14.0,1
483.0,0.875,0.0,0,4,7,7,0,2182,972.4285714285713,500.0,0.14400000000000002,207.0,0.0,1.0,0.0,0.0,0
430.0,0.913,0.0,0,12,19,23,1,1314,541.0,0.0,0.0,137.0,0.0,7.0,2.0,5.0,0
456.0,1.0,0.0,0,1,1,2,0,196,196.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0
597.0,0.75,0.0,1,2,7,3,0,2678,1291.7142857142858,0.0,0.0,26.0,0.0,0.0,0.0,6.0,1
599.0,1.0,0.87,0,1,1,0,0,188,188.0,400.0,0.0,68.0,0.085,0.0,0.0,0.0,0
599.0,1.0,0.87,0,1,1,0,0,175,175.0,400.0,0.0,55.0,0.085,0.0,0.0,0.0,0
546.0,1.0,0.0,0,1,1,3,0,599,599.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0
572.0,1.0,0.76,0,2,2,3,0,366,353.5,300.0,0.0,84.0,0.1,0.0,0.0,0.0,1
667.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2420.0,0.0,0.0,0.0,0.0,0
667.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2420.0,0.0,0.0,0.0,0.0,1
516.0,0.5625,0.0,0,4,4,13,0,512,371.75,0.0,0.0,170.0,0.0,0.0,3.0,57.0,0
533.0,1.0,0.0,0,1,2,3,0,1533,877.5,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0
639.0,1.0,0.0,0,1,1,0,0,533,533.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,1
784.0,1.0,0.11,0,1,2,0,0,9707,5193.5,11900.0,0.0,39.0,0.0029411764705882357,0.0,0.0,0.0,1
565.0,0.6667,0.0,0,1,1,3,0,183,183.0,0.0,0.0,9.0,0.0,5.0,3.0,5.0,0
534.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1
572.0,1.0,0.0,0,5,10,9,0,1588,650.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0
539.0,1.0,0.769,0,10,22,1,0,6297,1318.3181818181818,25100.0,0.0,9.0,0.02745019920318725,0.0,0.0,0.0,0
626.0,1.0,0.0,0,1,2,3,0,1173,694.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0
517.0,1.0,0.0,1,5,6,8,0,837,491.83333333333326,0.0,0.0,930.0,0.0,0.0,0.0,0.0,0
517.0,1.0,0.0,1,5,6,8,0,837,491.83333333333326,0.0,0.0,930.0,0.0,0.0,0.0,0.0,0
671.0,1.0,0.0,0,0,1,0,0,2326,2326.0,0.0,0.0,873.0,0.0,0.0,0.0,0.0,0
589.0,1.0,0.0,0,0,2,4,0,3284,2419.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,1
490.0,0.75,0.0,0,4,5,5,0,895,426.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0
751.0,1.0,0.16399999999999998,0,1,3,0,0,2672,1412.0,56000.0,0.0,31.0,0.0024285714285714284,0.0,0.0,0.0,0
580.0,0.8667,1.34,0,0,2,7,1,8048,6314.0,200.0,0.0,49.0,0.135,8.0,14.0,2.0,0
482.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
524.0,1.0,0.979,0,4,8,10,0,3217,992.125,5900.0,0.0,40.0,0.028983050847457625,0.0,0.0,0.0,0
556.0,0.8,0.273,0,3,3,1,0,462,221.33333333333331,800.0,0.0,12.0,0.0425,2.0,2.0,0.0,0
524.0,0.8511,0.154,0,4,10,3,0,3700,1251.5,53700.0,0.0014897579143389199,8.0,0.008175046554934824,8.0,3.0,8.0,0
455.0,1.0,0.0,1,6,57,58,0,2285,1395.578947368421,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0
567.0,0.9846,0.0,1,7,42,19,0,4344,2214.214285714286,0.0,0.0,47.0,0.0,3.0,1.0,9.0,0
413.0,0.75,0.0,0,11,15,15,0,4632,822.0666666666667,0.0,0.0,54.0,0.0,3.0,1.0,2.0,0
539.0,1.0,0.0,0,5,12,13,0,2347,815.5833333333335,300.0,0.0,1258.0,0.0,0.0,0.0,0.0,0
567.0,1.0,0.94,2,7,18,0,0,1217,748.0,16040.0,0.0,14.0,0.02718204488778055,0.0,0.0,0.0,0
502.0,0.7778,0.0,1,13,15,19,0,817,441.9333333333333,0.0,0.0,30.0,0.0,2.0,0.0,9.0,0
638.0,0.6667,0.845,0,2,4,3,0,946,653.0,200.0,0.0,48.0,0.125,2.0,0.0,0.0,1
506.0,0.5,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0
554.0,0.7308,0.188,0,4,11,5,0,2006,848.2727272727273,3750.0,0.18026666666666666,18.0,0.027999999999999997,15.0,4.0,2.0,0
532.0,0.5556,0.0,0,1,2,10,0,1159,745.5,0.0,0.0,289.0,0.0,0.0,8.0,120.0,1
519.0,1.0,0.0,0,0,1,6,0,1264,1264.0,0.0,0.0,616.0,0.0,0.0,0.0,0.0,0
