f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
634.0,1.0,0.3720000000000001,2,5,15,0,1,3891,1330.4666666666667,38500.0,0.0,7.0,0.011454545454545457,0.0,0.0,0.0,0
654.0,0.9,0.012,0,1,3,4,0,6956,2717.333333333333,7300.0,0.0,18.0,0.003424657534246575,1.0,0.0,0.0,1
679.0,1.0,0.0,1,1,1,0,0,69,69.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0
513.0,0.5,0.0,0,3,8,13,0,945,775.25,0.0,0.0,134.0,0.0,12.0,3.0,33.0,0
659.0,0.875,0.0,0,2,4,1,1,3729,1564.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,1
481.0,0.6667,0.58,0,2,4,6,0,1037,559.0,200.0,0.0,29.0,0.125,0.0,0.0,8.0,0
585.0,0.6667,0.799,0,3,3,0,0,530,329.3333333333333,4558.0,0.0,36.0,0.031812198332602015,1.0,0.0,0.0,0
641.0,1.0,0.211,0,4,4,1,0,366,271.75,1400.0,0.0,22.0,0.017857142857142856,0.0,0.0,0.0,1
661.0,0.8571,0.5760000000000001,0,1,2,0,0,4689,2561.5,2000.0,0.0,38.0,0.015,0.0,1.0,14.0,1
634.0,0.75,0.0,0,0,6,1,0,2989,2780.666666666666,0.0,0.0,47.0,0.0,6.0,2.0,1.0,1
728.0,1.0,0.479,0,1,2,0,0,1080,782.0,36000.0,0.0,18.0,0.004777777777777778,0.0,0.0,0.0,1
611.0,0.5,0.05,1,3,3,2,0,583,333.0,300.0,0.0,17.0,0.05,1.0,1.0,0.0,1
606.0,0.9412,0.097,3,18,40,27,1,3183,1037.95,20350.0,0.0,13.0,0.012235872235872237,3.0,1.0,2.0,0
636.0,1.0,0.836,0,4,5,0,0,1291,444.6,10250.0,0.0,41.0,0.013268292682926829,0.0,0.0,0.0,1
652.0,1.0,0.606,1,2,2,0,0,255,169.0,2200.0,0.0,31.0,0.0,0.0,0.0,0.0,1
659.0,0.5,0.14,1,1,6,0,0,5059,3107.666666666666,11000.0,0.0,40.0,0.0033636363636363642,0.0,0.0,113.0,1
678.0,0.6875,0.32299999999999995,0,1,8,0,0,2303,1202.625,10670.0,0.0,9.0,0.01893158388003749,9.0,4.0,4.0,0
591.0,1.0,0.923,1,8,9,0,1,4983,825.3333333333335,6050.0,0.0,20.0,0.031239669421487606,0.0,0.0,0.0,1
666.0,0.5385,0.0,0,0,4,0,0,2819,2640.5,0.0,0.0,63.0,0.0,0.0,0.0,12.0,1
355.0,1.0,1.14,0,1,1,0,0,167,167.0,300.0,0.02666666666666667,22.0,0.15,0.0,0.0,0.0,0
586.0,1.0,0.943,0,2,2,0,0,330,234.0,300.0,0.0,23.0,0.08333333333333333,0.0,0.0,0.0,0
633.0,0.875,0.6890000000000001,0,4,6,2,0,917,636.8333333333334,1600.0,0.0,15.0,0.046875,0.0,1.0,3.0,1
663.0,1.0,0.526,0,4,21,0,0,7597,1893.2857142857144,88350.0,0.0,9.0,0.0144878324844369,0.0,0.0,0.0,0
